G,G,F,F,F,UTIL
Veronica Burton(40009881),Jewell Loyd(40009941),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901)
Kahleah Copper(40009895),Kia Nurse(40009975),Kathryn Westbeld(40010007),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Veronica Burton(40009881)
Kaila Charles(40009935),Veronica Burton(40009881),Janelle Salaun(40009905),Kalani Brown(40010041),Kamilla Cardoso(40009877),Dearica Hamby(40009873)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maddy Siegrist(40009887),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901)
Kahleah Copper(40009895),Veronica Burton(40009881),Janelle Salaun(40009905),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Dearica Hamby(40009873)
Rachel Banham(40009947),Veronica Burton(40009881),Jonquel Jones(40009899),Azurá Stevens(40009893),Dearica Hamby(40009873),Dana Evans(40009955)
Kahleah Copper(40009895),Kaila Charles(40009935),Breanna Stewart(40009869),Monique Billings(40009973),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Kaila Charles(40009935),Kia Nurse(40009975),Kalani Brown(40010041),A'ja Wilson(40009859),Dearica Hamby(40009873),Veronica Burton(40009881)
Haley Jones(40009919),Kahleah Copper(40009895),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),Satou Sabally(40009885),Dearica Hamby(40009873)
Kahleah Copper(40009895),Veronica Burton(40009881),Kalani Brown(40010041),Maddy Westbeld(40010003),Satou Sabally(40009885),A'ja Wilson(40009859)
Kaila Charles(40009935),Kia Nurse(40009975),Myisha Hines Allen(40009901),Satou Sabally(40009885),A'ja Wilson(40009859),Rae Burrell(40009969)
Haley Jones(40009919),Kia Nurse(40009975),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Veronica Burton(40009881)
Veronica Burton(40009881),Jewell Loyd(40009941),Breanna Stewart(40009869),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Dearica Hamby(40009873)
Kaila Charles(40009935),Kia Nurse(40009975),Kalani Brown(40010041),A'ja Wilson(40009859),Azurá Stevens(40009893),Dearica Hamby(40009873)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Maddy Siegrist(40009887),Maddy Westbeld(40010003),A'ja Wilson(40009859),Rae Burrell(40009969)
Natisha Hiedeman(40009925),Sami Whitcomb(40009959),Jessica Shepard(40009915),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Veronica Burton(40009881)
Natasha Cloud(40009897),Veronica Burton(40009881),Jessica Shepard(40009915),Kalani Brown(40010041),Kamilla Cardoso(40009877),Satou Sabally(40009885)
Sami Whitcomb(40009959),Veronica Burton(40009881),Breanna Stewart(40009869),Kalani Brown(40010041),Kamilla Cardoso(40009877),Satou Sabally(40009885)
Veronica Burton(40009881),Jackie Young(40009871),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Michaela Onyenwere(40009979),Dearica Hamby(40009873)
Veronica Burton(40009881),Dana Evans(40009955),Jonquel Jones(40009899),Maddy Westbeld(40010003),Dearica Hamby(40009873),Jackie Young(40009871)
Kahleah Copper(40009895),Kaila Charles(40009935),Maddy Siegrist(40009887),Myisha Hines Allen(40009901),Natasha Mack(40009937),Veronica Burton(40009881)
Haley Jones(40009919),Kia Nurse(40009975),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Azurá Stevens(40009893),Veronica Burton(40009881)
Grace Berger(40009943),Kia Nurse(40009975),Breanna Stewart(40009869),Myisha Hines Allen(40009901),Azurá Stevens(40009893),Dearica Hamby(40009873)
Kaila Charles(40009935),Kia Nurse(40009975),Kamilla Cardoso(40009877),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Veronica Burton(40009881)
Kahleah Copper(40009895),Veronica Burton(40009881),Kamilla Cardoso(40009877),Dearica Hamby(40009873),NaLyssa Smith(40009965),Rae Burrell(40009969)
Kahleah Copper(40009895),Marine Johannes(40009987),Alyssa Thomas(40009861),Maddy Siegrist(40009887),Maddy Westbeld(40010003),Paige Bueckers(40009875)
Rachel Banham(40009947),Sami Whitcomb(40009959),Breanna Stewart(40009869),Janelle Salaun(40009905),Jonquel Jones(40009899),Kamilla Cardoso(40009877)
Paige Bueckers(40009875),Rebecca Allen(40009989),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Natasha Mack(40009937),Veronica Burton(40009881)
Haley Jones(40009919),Kahleah Copper(40009895),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Natasha Mack(40009937),A'ja Wilson(40009859)
Kahleah Copper(40009895),Kia Nurse(40009975),Alyssa Thomas(40009861),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Haley Jones(40009919),Veronica Burton(40009881),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Satou Sabally(40009885),Dearica Hamby(40009873)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Maddy Westbeld(40010003),Natasha Mack(40009937),A'ja Wilson(40009859),Veronica Burton(40009881)
Kahleah Copper(40009895),Kaila Charles(40009935),Kalani Brown(40010041),A'ja Wilson(40009859),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Sami Whitcomb(40009959),Veronica Burton(40009881),Jessica Shepard(40009915),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),A'ja Wilson(40009859)
Kahleah Copper(40009895),Kaila Charles(40009935),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Dearica Hamby(40009873),Veronica Burton(40009881)
Paige Bueckers(40009875),Rebecca Allen(40009989),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Natasha Mack(40009937),Veronica Burton(40009881)
Haley Jones(40009919),Veronica Burton(40009881),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Natasha Mack(40009937),Jewell Loyd(40009941)
Grace Berger(40009943),Kaila Charles(40009935),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),A'ja Wilson(40009859)
Kahleah Copper(40009895),Kia Nurse(40009975),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),Paige Bueckers(40009875)
Veronica Burton(40009881),Rae Burrell(40009969),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),NaLyssa Smith(40009965)
Haley Jones(40009919),Kahleah Copper(40009895),Iliana Rupert(40009921),Natasha Mack(40009937),Satou Sabally(40009885),Veronica Burton(40009881)
Grace Berger(40009943),Kia Nurse(40009975),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Dearica Hamby(40009873)
Kia Nurse(40009975),Veronica Burton(40009881),Alyssa Thomas(40009861),Jessica Shepard(40009915),Michaela Onyenwere(40009979),Chelsea Gray(40009883)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),Veronica Burton(40009881)
Natisha Hiedeman(40009925),Sami Whitcomb(40009959),Maria Kliundikova(40009991),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Veronica Burton(40009881)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Monique Billings(40009973),Myisha Hines Allen(40009901),Satou Sabally(40009885),Veronica Burton(40009881)
Kaila Charles(40009935),Sami Whitcomb(40009959),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),Myisha Hines Allen(40009901),A'ja Wilson(40009859)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Janelle Salaun(40009905),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dearica Hamby(40009873)
Kia Nurse(40009975),Veronica Burton(40009881),Natasha Mack(40009937),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Jackie Young(40009871)
Haley Jones(40009919),Kia Nurse(40009975),Kamilla Cardoso(40009877),Natasha Mack(40009937),Dearica Hamby(40009873),Veronica Burton(40009881)
Kaila Charles(40009935),Veronica Burton(40009881),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Maddy Siegrist(40009887),NaLyssa Smith(40009965)
Kaila Charles(40009935),Veronica Burton(40009881),Jonquel Jones(40009899),Azurá Stevens(40009893),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Monique Billings(40009973),Jewell Loyd(40009941)
Paige Bueckers(40009875),Veronica Burton(40009881),Maddy Westbeld(40010003),Azurá Stevens(40009893),Dearica Hamby(40009873),Dana Evans(40009955)
Haley Jones(40009919),Paige Bueckers(40009875),Janelle Salaun(40009905),Kalani Brown(40010041),Azurá Stevens(40009893),Veronica Burton(40009881)
Kahleah Copper(40009895),Rae Burrell(40009969),Kathryn Westbeld(40010007),Myisha Hines Allen(40009901),Satou Sabally(40009885),A'ja Wilson(40009859)
Kahleah Copper(40009895),Veronica Burton(40009881),Iliana Rupert(40009921),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),Dearica Hamby(40009873)
Kahleah Copper(40009895),Kia Nurse(40009975),Jessica Shepard(40009915),Maddy Westbeld(40010003),A'ja Wilson(40009859),Veronica Burton(40009881)
Kahleah Copper(40009895),Veronica Burton(40009881),Iliana Rupert(40009921),Jonquel Jones(40009899),NaLyssa Smith(40009965),Chelsea Gray(40009883)
Sami Whitcomb(40009959),Veronica Burton(40009881),Breanna Stewart(40009869),Maddy Westbeld(40010003),A'ja Wilson(40009859),Rae Burrell(40009969)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Natasha Mack(40009937),A'ja Wilson(40009859),NaLyssa Smith(40009965),Jewell Loyd(40009941)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Alyssa Thomas(40009861),Jessica Shepard(40009915),Maddy Westbeld(40010003),Azurá Stevens(40009893)
Rachel Banham(40009947),Sami Whitcomb(40009959),Janelle Salaun(40009905),Jonquel Jones(40009899),Dearica Hamby(40009873),Veronica Burton(40009881)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),NaLyssa Smith(40009965),Veronica Burton(40009881)
Veronica Burton(40009881),Rae Burrell(40009969),Kathryn Westbeld(40010007),A'ja Wilson(40009859),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Haley Jones(40009919),Kahleah Copper(40009895),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Satou Sabally(40009885),Kia Nurse(40009975)
Paige Bueckers(40009875),Rae Burrell(40009969),Alyssa Thomas(40009861),Jessica Shepard(40009915),Maddy Siegrist(40009887),Maddy Westbeld(40010003)
Veronica Burton(40009881),Chelsea Gray(40009883),Alyssa Thomas(40009861),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Rae Burrell(40009969)
Veronica Burton(40009881),Jewell Loyd(40009941),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),Myisha Hines Allen(40009901),Dearica Hamby(40009873)
Kaila Charles(40009935),Jackie Young(40009871),Alyssa Thomas(40009861),Jessica Shepard(40009915),Maria Kliundikova(40009991),Jewell Loyd(40009941)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Kamilla Cardoso(40009877),Natasha Mack(40009937),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Veronica Burton(40009881),Jackie Young(40009871),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),Natasha Mack(40009937),Azurá Stevens(40009893)
Kia Nurse(40009975),Veronica Burton(40009881),Jonquel Jones(40009899),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),A'ja Wilson(40009859)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Dearica Hamby(40009873),Dana Evans(40009955)
Kia Nurse(40009975),Jewell Loyd(40009941),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Satou Sabally(40009885),Dearica Hamby(40009873)
Haley Jones(40009919),Kahleah Copper(40009895),Maria Kliundikova(40009991),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Veronica Burton(40009881)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Myisha Hines Allen(40009901),Natasha Mack(40009937),Dearica Hamby(40009873),Veronica Burton(40009881)
Rachel Banham(40009947),Veronica Burton(40009881),Kamilla Cardoso(40009877),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Rae Burrell(40009969)
Kahleah Copper(40009895),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),NaLyssa Smith(40009965),Jackie Young(40009871)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Maddy Westbeld(40010003),Azurá Stevens(40009893),Dearica Hamby(40009873),Veronica Burton(40009881)
Kia Nurse(40009975),Dana Evans(40009955),A'ja Wilson(40009859),Azurá Stevens(40009893),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Kia Nurse(40009975),Veronica Burton(40009881),Breanna Stewart(40009869),Kalani Brown(40010041),A'ja Wilson(40009859),Jewell Loyd(40009941)
Grace Berger(40009943),Kia Nurse(40009975),Michaela Onyenwere(40009979),Satou Sabally(40009885),A'ja Wilson(40009859),Veronica Burton(40009881)
Kahleah Copper(40009895),Veronica Burton(40009881),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),Satou Sabally(40009885),NaLyssa Smith(40009965)
Paige Bueckers(40009875),Veronica Burton(40009881),Jessica Shepard(40009915),Maddy Westbeld(40010003),Natasha Mack(40009937),Jackie Young(40009871)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Myisha Hines Allen(40009901),Natasha Mack(40009937),Azurá Stevens(40009893),Veronica Burton(40009881)
Kaila Charles(40009935),Veronica Burton(40009881),Kalani Brown(40010041),Kamilla Cardoso(40009877),A'ja Wilson(40009859),Rae Burrell(40009969)
Kia Nurse(40009975),Paige Bueckers(40009875),Breanna Stewart(40009869),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Rae Burrell(40009969)
Kia Nurse(40009975),Rebecca Allen(40009989),Natasha Mack(40009937),Satou Sabally(40009885),A'ja Wilson(40009859),Veronica Burton(40009881)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Alyssa Thomas(40009861),Cheyenne Parker Tyus(40010055),Dearica Hamby(40009873),Veronica Burton(40009881)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Azurá Stevens(40009893),Sami Whitcomb(40009959)
Haley Jones(40009919),Kia Nurse(40009975),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Azurá Stevens(40009893),Veronica Burton(40009881)
Haley Jones(40009919),Kahleah Copper(40009895),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Azurá Stevens(40009893),Kia Nurse(40009975)
Sami Whitcomb(40009959),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),Myisha Hines Allen(40009901),Dearica Hamby(40009873)
Haley Jones(40009919),Kahleah Copper(40009895),Kalani Brown(40010041),Kamilla Cardoso(40009877),Satou Sabally(40009885),Veronica Burton(40009881)
Kahleah Copper(40009895),Veronica Burton(40009881),Alyssa Thomas(40009861),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Rae Burrell(40009969)
Kia Nurse(40009975),Veronica Burton(40009881),Emma Meesseman(40009909),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),A'ja Wilson(40009859)
Haley Jones(40009919),Veronica Burton(40009881),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Rae Burrell(40009969)
Kia Nurse(40009975),Paige Bueckers(40009875),Breanna Stewart(40009869),Michaela Onyenwere(40009979),Satou Sabally(40009885),Veronica Burton(40009881)
Kaila Charles(40009935),Paige Bueckers(40009875),Kalani Brown(40010041),Monique Billings(40009973),A'ja Wilson(40009859),Veronica Burton(40009881)
Kahleah Copper(40009895),Veronica Burton(40009881),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Myisha Hines Allen(40009901)
Haley Jones(40009919),Kahleah Copper(40009895),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Jonquel Jones(40009899),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Veronica Burton(40009881)
Kia Nurse(40009975),Rachel Banham(40009947),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Satou Sabally(40009885)
Haley Jones(40009919),Kaila Charles(40009935),Breanna Stewart(40009869),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Sami Whitcomb(40009959)
Kahleah Copper(40009895),Veronica Burton(40009881),Alyssa Thomas(40009861),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),NaLyssa Smith(40009965)
Veronica Burton(40009881),Chelsea Gray(40009883),Jessica Shepard(40009915),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Satou Sabally(40009885)
Paige Bueckers(40009875),Sami Whitcomb(40009959),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),NaLyssa Smith(40009965),Veronica Burton(40009881)
Sami Whitcomb(40009959),Veronica Burton(40009881),Breanna Stewart(40009869),Kalani Brown(40010041),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901)
Kia Nurse(40009975),Sami Whitcomb(40009959),Kalani Brown(40010041),Kamilla Cardoso(40009877),A'ja Wilson(40009859),Dearica Hamby(40009873)
Marine Johannes(40009987),Veronica Burton(40009881),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Myisha Hines Allen(40009901)
Haley Jones(40009919),Kia Nurse(40009975),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Veronica Burton(40009881),Jewell Loyd(40009941),Alyssa Thomas(40009861),Janelle Salaun(40009905),Kalani Brown(40010041),Myisha Hines Allen(40009901)
Haley Jones(40009919),Veronica Burton(40009881),Jessica Shepard(40009915),Satou Sabally(40009885),Azurá Stevens(40009893),Jewell Loyd(40009941)
Kia Nurse(40009975),Paige Bueckers(40009875),Kalani Brown(40010041),Kamilla Cardoso(40009877),Dearica Hamby(40009873),Veronica Burton(40009881)
Haley Jones(40009919),Jewell Loyd(40009941),Alyssa Thomas(40009861),Janelle Salaun(40009905),Myisha Hines Allen(40009901),Rae Burrell(40009969)
Kaila Charles(40009935),Rebecca Allen(40009989),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Azurá Stevens(40009893),Dearica Hamby(40009873)
Kia Nurse(40009975),Sami Whitcomb(40009959),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Satou Sabally(40009885),Veronica Burton(40009881)
Haley Jones(40009919),Natasha Cloud(40009897),Alyssa Thomas(40009861),Azurá Stevens(40009893),NaLyssa Smith(40009965),Sami Whitcomb(40009959)
Grace Berger(40009943),Haley Jones(40009919),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Natasha Mack(40009937),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Natasha Mack(40009937),Veronica Burton(40009881)
Grace Berger(40009943),Haley Jones(40009919),Alyssa Thomas(40009861),Jessica Shepard(40009915),Maddy Westbeld(40010003),Paige Bueckers(40009875)
Kahleah Copper(40009895),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Natasha Mack(40009937),Dearica Hamby(40009873)
Haley Jones(40009919),Kahleah Copper(40009895),Janelle Salaun(40009905),Kathryn Westbeld(40010007),Dearica Hamby(40009873),Paige Bueckers(40009875)
Rachel Banham(40009947),Sami Whitcomb(40009959),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Satou Sabally(40009885),Veronica Burton(40009881)
Kaila Charles(40009935),Kia Nurse(40009975),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Dearica Hamby(40009873)
Kahleah Copper(40009895),Kia Nurse(40009975),Alyssa Thomas(40009861),Maria Kliundikova(40009991),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Alyssa Thomas(40009861),Jessica Shepard(40009915),NaLyssa Smith(40009965),Veronica Burton(40009881)
Paige Bueckers(40009875),Veronica Burton(40009881),Myisha Hines Allen(40009901),Dearica Hamby(40009873),NaLyssa Smith(40009965),Rae Burrell(40009969)
Haley Jones(40009919),Paige Bueckers(40009875),Kamilla Cardoso(40009877),Dearica Hamby(40009873),NaLyssa Smith(40009965),Sami Whitcomb(40009959)
Sami Whitcomb(40009959),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Satou Sabally(40009885),Dearica Hamby(40009873)
Marine Johannes(40009987),Veronica Burton(40009881),Breanna Stewart(40009869),Kathryn Westbeld(40010007),Dearica Hamby(40009873),Jackie Young(40009871)
Kia Nurse(40009975),Paige Bueckers(40009875),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),A'ja Wilson(40009859),Sami Whitcomb(40009959)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Jessica Shepard(40009915),Satou Sabally(40009885),Dearica Hamby(40009873),Veronica Burton(40009881)
Kia Nurse(40009975),Dana Evans(40009955),Breanna Stewart(40009869),Maddy Siegrist(40009887),Myisha Hines Allen(40009901),Jackie Young(40009871)
Marine Johannes(40009987),Veronica Burton(40009881),Janelle Salaun(40009905),Jessica Shepard(40009915),A'ja Wilson(40009859),Rae Burrell(40009969)
Veronica Burton(40009881),Jackie Young(40009871),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Natasha Mack(40009937)
Haley Jones(40009919),Kahleah Copper(40009895),Maddy Siegrist(40009887),Maddy Westbeld(40010003),Dearica Hamby(40009873),Veronica Burton(40009881)
Grace Berger(40009943),Kia Nurse(40009975),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Dearica Hamby(40009873),Rae Burrell(40009969)
Kia Nurse(40009975),Veronica Burton(40009881),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),A'ja Wilson(40009859),Dana Evans(40009955)
Kaila Charles(40009935),Sami Whitcomb(40009959),Alyssa Thomas(40009861),Jonquel Jones(40009899),Kamilla Cardoso(40009877),NaLyssa Smith(40009965)
Grace Berger(40009943),Haley Jones(40009919),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Kahleah Copper(40009895)
Haley Jones(40009919),Kia Nurse(40009975),Breanna Stewart(40009869),Dearica Hamby(40009873),NaLyssa Smith(40009965),Veronica Burton(40009881)
Kahleah Copper(40009895),Kaila Charles(40009935),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Veronica Burton(40009881)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Maddy Westbeld(40010003),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Jackie Young(40009871)
Paige Bueckers(40009875),Sami Whitcomb(40009959),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Satou Sabally(40009885),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Kamilla Cardoso(40009877),Natasha Mack(40009937),Satou Sabally(40009885),Veronica Burton(40009881)
Jackie Young(40009871),Jewell Loyd(40009941),Kalani Brown(40010041),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),A'ja Wilson(40009859)
Veronica Burton(40009881),Jewell Loyd(40009941),Kamilla Cardoso(40009877),Maddy Siegrist(40009887),Maria Kliundikova(40009991),Satou Sabally(40009885)
Rebecca Allen(40009989),Dana Evans(40009955),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),A'ja Wilson(40009859)
Kahleah Copper(40009895),Kia Nurse(40009975),Kalani Brown(40010041),Myisha Hines Allen(40009901),Satou Sabally(40009885),A'ja Wilson(40009859)
Sami Whitcomb(40009959),Veronica Burton(40009881),Myisha Hines Allen(40009901),Dearica Hamby(40009873),NaLyssa Smith(40009965),Chelsea Gray(40009883)
Haley Jones(40009919),Kaila Charles(40009935),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dana Evans(40009955)
Kia Nurse(40009975),Veronica Burton(40009881),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Natasha Mack(40009937),Satou Sabally(40009885)
Courtney Williams(40009879),Kia Nurse(40009975),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Sami Whitcomb(40009959)
Kahleah Copper(40009895),Kia Nurse(40009975),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Monique Billings(40009973),Veronica Burton(40009881)
Kia Nurse(40009975),Rebecca Allen(40009989),Alyssa Thomas(40009861),Breanna Stewart(40009869),Natasha Mack(40009937),Veronica Burton(40009881)
Kaila Charles(40009935),Jackie Young(40009871),Kalani Brown(40010041),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),A'ja Wilson(40009859)
Kahleah Copper(40009895),Rebecca Allen(40009989),Maddy Siegrist(40009887),Myisha Hines Allen(40009901),Satou Sabally(40009885),Veronica Burton(40009881)
Kaila Charles(40009935),Paige Bueckers(40009875),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Natasha Mack(40009937),Veronica Burton(40009881)
Haley Jones(40009919),Kahleah Copper(40009895),Janelle Salaun(40009905),Michaela Onyenwere(40009979),Dearica Hamby(40009873),Veronica Burton(40009881)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Janelle Salaun(40009905),Myisha Hines Allen(40009901),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Haley Jones(40009919),Kahleah Copper(40009895),Alyssa Thomas(40009861),Maddy Westbeld(40010003),Natasha Mack(40009937),Veronica Burton(40009881)
Haley Jones(40009919),Kahleah Copper(40009895),Alyssa Thomas(40009861),Michaela Onyenwere(40009979),Monique Billings(40009973),Veronica Burton(40009881)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Kalani Brown(40010041),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Satou Sabally(40009885)
Veronica Burton(40009881),Jewell Loyd(40009941),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),A'ja Wilson(40009859),Rae Burrell(40009969)
Sami Whitcomb(40009959),Chelsea Gray(40009883),Jessica Shepard(40009915),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),A'ja Wilson(40009859)
Haley Jones(40009919),Paige Bueckers(40009875),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Veronica Burton(40009881)
Grace Berger(40009943),Rae Burrell(40009969),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Azurá Stevens(40009893),Dearica Hamby(40009873)
Haley Jones(40009919),Kahleah Copper(40009895),Kalani Brown(40010041),Maddy Siegrist(40009887),Satou Sabally(40009885),Dearica Hamby(40009873)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Iliana Rupert(40009921),Monique Billings(40009973),A'ja Wilson(40009859),Rae Burrell(40009969)
Haley Jones(40009919),Kia Nurse(40009975),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),Veronica Burton(40009881)
Grace Berger(40009943),Kahleah Copper(40009895),Jonquel Jones(40009899),Monique Billings(40009973),Dearica Hamby(40009873),Veronica Burton(40009881)
Veronica Burton(40009881),Jackie Young(40009871),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Natasha Mack(40009937)
